public_reference,mileage,reg_code,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type
2.0201E+14,2584,69,White,Hyundai,i10,USED,2019,11250,Hatchback,FALSE,Petrol
2.0201E+14,0,,Blue,Kia,Sorento,NEW,,38750,SUV,FALSE,Petrol Hybrid
2.0201E+14,66848,60,White,Audi,Q5,USED,2010,11399,SUV,FALSE,Diesel
2.0201E+14,2811,69,Grey,SKODA,Superb,USED,2019,19790,Hatchback,FALSE,Diesel
2.0201E+14,48000,59,Grey,Smart,fortwo,USED,2009,3200,Coupe,FALSE,Petrol
2.0201E+14,8110,67,Blue,Nissan,Qashqai,USED,2017,12800,SUV,FALSE,Petrol
2.0201E+14,39801,16,Grey,Vauxhall,Corsa,USED,2016,6700,Hatchback,FALSE,Petrol
2.0201E+14,9845,18,Grey,Honda,Jazz,USED,2018,15000,Hatchback,FALSE,Petrol
2.0201E+14,63718,65,White,BMW,1 Series,USED,2015,9500,Hatchback,FALSE,Diesel
2.0201E+14,34177,66,Blue,BMW,1 Series,USED,2016,20995,Hatchback,FALSE,Petrol
2.0201E+14,8758,19,Blue,Peugeot,308 SW,USED,2019,14990,Estate,FALSE,Diesel
2.0201E+14,104000,59,Grey,SEAT,Leon,USED,2010,2195,Hatchback,FALSE,Petrol
2.0201E+14,1932,20,Black,Land Rover,Defender 110,USED,2020,54780,SUV,FALSE,Diesel
2.0201E+14,73000,13,Green,Honda,Civic,USED,2013,5495,Hatchback,FALSE,Diesel
2.0201E+14,54344,66,White,Jaguar,F-PACE,USED,2016,25850,SUV,FALSE,Diesel
2.0201E+14,51835,13,Silver,SKODA,Fabia,USED,2013,5499,Estate,FALSE,Petrol
2.0201E+14,25000,10,Silver,MINI,Hatch,USED,2010,7999,Hatchback,FALSE,Petrol
2.0201E+14,55612,55,Black,Peugeot,107,USED,2006,1750,Hatchback,FALSE,Petrol
2.0201E+14,8,70,Blue,Suzuki,Ignis,USED,2020,10890,Hatchback,FALSE,Petrol Hybrid
2.0201E+14,22810,17,White,SKODA,Superb,USED,2017,15999,Estate,FALSE,Diesel
2.0201E+14,32000,67,Black,Mercedes-Benz,A Class,USED,2017,12200,Hatchback,FALSE,Diesel
2.0201E+14,52516,12,Red,Alfa Romeo,Giulietta,USED,2012,6575,Hatchback,FALSE,Petrol
2.0201E+14,98512,51,Black,Audi,TT,USED,2002,1999,Coupe,FALSE,Petrol
2.0201E+14,54276,62,Black,BMW,1 Series,USED,2012,7000,Coupe,FALSE,Diesel
2.0201E+14,25710,18,Black,Mercedes-Benz,C Class,USED,2018,29990,Saloon,FALSE,Petrol
2.0201E+14,21428,18,Black,Audi,Q5,USED,2018,29825,SUV,FALSE,Petrol
2.0201E+14,10,70,Grey,Citroen,C4 Cactus,USED,2020,17000,Hatchback,FALSE,Petrol
2.0201E+14,19866,15,Black,Vauxhall,Corsa,USED,2015,7250,Hatchback,FALSE,Petrol
2.0201E+14,48000,55,Green,Maserati,Quattroporte,USED,2005,11995,Saloon,FALSE,Petrol
2.0201E+14,54523,67,Black,Jaguar,F-PACE,USED,2017,25000,SUV,FALSE,Diesel
2.0201E+14,57633,64,Black,Land Rover,Range Rover Sport,USED,2014,29950,SUV,FALSE,Diesel
2.0201E+14,22755,17,Grey,Nissan,Note,USED,2017,7290,Hatchback,FALSE,Petrol
2.0201E+14,24000,17,Grey,Vauxhall,Astra,USED,2017,9995,Hatchback,FALSE,Petrol
2.0201E+14,3808,68,Black,Jaguar,XF,USED,2019,28995,Saloon,FALSE,Petrol
2.0201E+14,13469,18,Blue,DS AUTOMOBILES,DS 7 CROSSBACK,USED,2018,22490,SUV,FALSE,Diesel
2.0201E+14,25123,65,Green,Peugeot,2008,USED,2015,8500,SUV,FALSE,Petrol
2.0201E+14,39655,13,,Nissan,Juke,USED,2013,6145,SUV,FALSE,Petrol
2.0201E+14,14,20,Grey,Mazda,CX-30,USED,2020,23989,SUV,FALSE,Petrol
2.0201E+14,71000,58,Blue,Nissan,Note,USED,2008,1950,Hatchback,FALSE,Petrol
2.0201E+14,15271,17,Silver,Mercedes-Benz,E Class,USED,2017,26000,Estate,FALSE,Diesel
2.0201E+14,12549,66,Silver,Audi,A1,USED,2016,12763,Hatchback,FALSE,Petrol
2.0201E+14,39929,66,Grey,Kia,Sportage,USED,2016,12225,SUV,FALSE,Diesel
2.0201E+14,7957,67,Red,Peugeot,208,USED,2017,9995,Hatchback,FALSE,Petrol
2.0201E+14,4230,69,White,Renault,Koleos,USED,2019,23495,SUV,FALSE,Diesel
2.0201E+14,22320,16,Grey,Mercedes-Benz,A Class,USED,2016,16999,Hatchback,FALSE,Diesel
2.0201E+14,59230,7,Grey,BMW,3 Series,USED,2007,6195,Convertible,FALSE,Petrol
2.0201E+14,63294,14,White,Nissan,Qashqai,USED,2014,10000,SUV,FALSE,Petrol
2.0201E+14,52700,64,Blue,Mazda,Mazda5,USED,2015,8995,MPV,FALSE,Petrol
2.0201E+14,54381,67,White,Kia,Sportage,USED,2017,14800,SUV,FALSE,Diesel
2.0201E+14,2056,69,Grey,Kia,Sportage,USED,2019,23300,SUV,FALSE,Petrol
2.0201E+14,110000,8,Blue,Toyota,AYGO,USED,2008,1500,Hatchback,FALSE,Petrol
2.0201E+14,8021,18,Blue,SKODA,Karoq,USED,2018,16490,SUV,FALSE,Diesel
2.0201E+14,10,,White,Jaguar,XF,NEW,,29999,Saloon,FALSE,Diesel
2.0201E+14,200,70,Black,Mercedes-Benz,GLE Class,USED,2020,75990,SUV,FALSE,Petrol
2.0201E+14,71000,61,Red,Vauxhall,Astra,USED,2012,3290,Hatchback,FALSE,Petrol
2.0201E+14,42355,17,Gold,Volvo,XC60,USED,2017,18500,SUV,FALSE,Diesel
2.0201E+14,82934,60,Silver,Kia,Venga,USED,2011,1795,Hatchback,FALSE,Petrol
2.0201E+14,0,,Grey,Nissan,Juke,NEW,,20017,SUV,FALSE,Petrol
2.0201E+14,66848,64,White,Vauxhall,Mokka,USED,2014,6027,Hatchback,FALSE,Petrol
2.0201E+14,54799,16,Silver,Mercedes-Benz,C Class,USED,2016,15764,Saloon,FALSE,Diesel
2.0201E+14,11953,17,Red,Suzuki,Ignis,USED,2017,7490,Hatchback,FALSE,Petrol
2.0201E+14,77438,11,White,SKODA,Fabia,USED,2011,2750,Hatchback,FALSE,Diesel
2.0201E+14,95422,15,Grey,Audi,A3,USED,2015,8000,Hatchback,FALSE,Diesel
2.0201E+14,23000,17,Grey,BMW,3 Series,USED,2017,21990,Saloon,FALSE,Diesel
2.0201E+14,58569,65,Grey,Land Rover,Discovery Sport,USED,2015,17995,SUV,FALSE,Diesel
2.0201E+14,49996,62,Black,Land Rover,Freelander 2,USED,2012,15199,SUV,FALSE,Diesel
2.0201E+14,26390,67,Red,Mercedes-Benz,A Class,USED,2017,17450,Hatchback,FALSE,Diesel
2.0201E+14,83000,14,Blue,Kia,Sportage,USED,2014,7500,SUV,FALSE,Diesel
2.0201E+14,58000,7,Grey,Volkswagen,Golf,USED,2007,4350,Hatchback,FALSE,Petrol
2.0201E+14,7206,69,Silver,Mercedes-Benz,C Class,USED,2019,21499,Saloon,FALSE,Petrol
2.0201E+14,4000,69,Grey,Jaguar,I-PACE,USED,2019,53980,SUV,FALSE,Electric
2.0201E+14,81145,14,Black,Renault,Clio,USED,2014,5470,Hatchback,FALSE,Diesel
2.0201E+14,77000,62,Black,Peugeot,3008,USED,2012,4495,SUV,FALSE,Diesel
2.0201E+14,56287,64,Blue,Dacia,Sandero,USED,2014,3995,Hatchback,FALSE,Petrol
2.0201E+14,95000,61,Silver,Mercedes-Benz,E Class,USED,2011,8190,Saloon,FALSE,Diesel
2.0201E+14,73000,65,Black,BMW,4 Series,USED,2015,15295,Coupe,FALSE,Diesel
2.0201E+14,11724,19,Grey,Jeep,Renegade,USED,2019,17495,SUV,FALSE,Diesel
2.0201E+14,96432,10,Black,Honda,Civic,USED,2010,2480,Hatchback,FALSE,Petrol
2.0201E+14,37431,67,Black,Volkswagen,Tiguan,USED,2017,20499,SUV,FALSE,Diesel
2.0201E+14,6257,19,Grey,SEAT,Ibiza,USED,2019,12295,Hatchback,FALSE,Petrol
2.0201E+14,59510,16,Black,MINI,Hatch,USED,2016,7742,Hatchback,FALSE,Diesel
2.0201E+14,13800,66,Grey,Volkswagen,Golf,USED,2016,12790,Hatchback,FALSE,Diesel
2.0201E+14,50569,15,Red,Land Rover,Discovery Sport,USED,2015,19350,SUV,FALSE,Diesel
2.0201E+14,55000,65,Grey,Vauxhall,Vivaro,USED,2015,10995,,FALSE,Diesel
2.0201E+14,37150,15,White,Alfa Romeo,Giulietta,USED,2015,8900,Hatchback,FALSE,Petrol
2.0201E+14,3825,19,White,Mercedes-Benz,E Class,USED,2019,34990,Saloon,FALSE,Diesel
2.0201E+14,41000,16,Red,Mazda,CX-3,USED,2016,10990,SUV,FALSE,Diesel
2.0201E+14,10,,Grey,Mercedes-Benz,C Class,NEW,,44684,Estate,FALSE,Diesel
2.0201E+14,54000,,White,Toyota,Prius+,USED,2019,10900,MPV,FALSE,Petrol Hybrid
2.0201E+14,54000,67,Blue,Mercedes-Benz,A Class,USED,2018,16490,Hatchback,FALSE,Diesel
2.0201E+14,105000,4,Grey,Volkswagen,Polo,USED,2004,995,Hatchback,FALSE,Petrol
2.0201E+14,30144,67,Black,Audi,Q3,USED,2017,18775,SUV,FALSE,Petrol
2.0201E+14,36326,67,Black,Audi,A3,USED,2017,12400,Hatchback,FALSE,Diesel
2.0201E+14,12332,17,Silver,Mercedes-Benz,A Class,USED,2017,15700,Hatchback,FALSE,Diesel
2.0201E+14,4560,69,Grey,Land Rover,Discovery Sport,USED,2019,40990,SUV,FALSE,Diesel
2.0201E+14,35490,17,Black,Audi,A1,USED,2017,11000,Hatchback,FALSE,Petrol
2.0201E+14,46656,65,White,Peugeot,2008,USED,2016,7995,SUV,FALSE,Diesel
2.0201E+14,2927,69,Blue,BMW,3 Series,USED,2020,26495,Saloon,FALSE,Diesel
2.0201E+14,6530,18,White,Peugeot,3008,USED,2018,23499,SUV,FALSE,Petrol
2.0201E+14,96000,13,Blue,Toyota,Auris,USED,2013,7150,Hatchback,FALSE,Petrol Hybrid
2.0201E+14,43000,13,White,Fiat,500,USED,2013,4990,Hatchback,FALSE,Petrol
2.0201E+14,19102,62,Red,Nissan,Note,USED,2012,5795,Hatchback,FALSE,Petrol
2.0201E+14,15250,67,Black,Mercedes-Benz,E Class,USED,2017,28495,Convertible,FALSE,Diesel
2.0201E+14,100000,57,Black,Land Rover,Defender 90,USED,2007,18995,SUV,FALSE,Diesel
2.0201E+14,5601,69,Red,Suzuki,Swift,USED,2020,9950,Hatchback,FALSE,Petrol Hybrid
2.0201E+14,14653,17,Blue,BMW,4 Series,USED,2017,25998,Coupe,FALSE,Diesel
2.0201E+14,66098,16,Gold,Volkswagen,Passat,USED,2016,14999,Estate,FALSE,Diesel
2.0201E+14,126000,11,White,Alfa Romeo,Giulietta,USED,2011,2500,Hatchback,FALSE,Diesel
2.0201E+14,14500,68,Red,Mazda,Mazda3,USED,2018,14000,Hatchback,FALSE,Petrol
2.0201E+14,20163,68,Red,Suzuki,Ignis,USED,2018,10999,Hatchback,FALSE,Petrol Hybrid
2.0201E+14,29459,67,White,Volkswagen,Scirocco,USED,2017,14490,Coupe,FALSE,Petrol
2.0201E+14,86000,4,Blue,Citroen,C3,USED,2004,895,Hatchback,FALSE,Petrol
2.0201E+14,29400,18,Blue,Volvo,XC60,USED,2018,37895,SUV,FALSE,Petrol Plug-in Hybrid
2.0201E+14,40262,16,Grey,Audi,A3,USED,2016,15000,Hatchback,FALSE,Diesel
2.0201E+14,13900,69,Red,Vauxhall,Grandland X,USED,2019,18980,SUV,FALSE,Petrol
2.0201E+14,39519,17,White,Mercedes-Benz,GLA Class,USED,2017,21480,SUV,FALSE,Diesel
2.0201E+14,82345,14,Silver,Vauxhall,Astra,USED,2014,3649,Hatchback,FALSE,Diesel
2.0201E+14,174000,53,Black,Volkswagen,Golf,USED,2003,1100,Hatchback,FALSE,Diesel
2.0201E+14,73909,10,Grey,Renault,Clio,USED,2010,2195,Hatchback,FALSE,Petrol
2.02011E+14,46701,15,Grey,SEAT,Ibiza,USED,2015,6000,Hatchback,FALSE,Petrol
2.02011E+14,187000,4,Blue,Toyota,Avensis,USED,2004,895,Estate,FALSE,Diesel
2.01907E+14,10,,Black,BMW,Z4,NEW,,39309,Convertible,FALSE,Petrol
2.01909E+14,23000,55,Red,Ferrari,F430,USED,2005,89995,Convertible,FALSE,Petrol
2.0191E+14,37000,14,Grey,Porsche,Macan,USED,2014,35000,SUV,FALSE,Petrol
2.01911E+14,2768,20,White,SEAT,Ateca,USED,2020,24000,SUV,FALSE,Petrol
2.01912E+14,99000,X,Blue,Volvo,V40,USED,2000,1295,Estate,FALSE,Petrol
2.01912E+14,15917,18,White,Vauxhall,Grandland X,USED,2018,15995,SUV,FALSE,Petrol
2.01912E+14,1000,69,Silver,Mercedes-Benz,E Class,USED,2019,36299,Saloon,FALSE,Diesel Plug-in Hybrid
2.02001E+14,24610,18,Silver,BMW,3 Series,USED,2018,17698,Saloon,FALSE,Diesel
2.02001E+14,22000,67,White,Land Rover,Range Rover Evoque,USED,2017,23995,SUV,FALSE,Diesel
2.02002E+14,9060,68,Yellow,Volkswagen,Golf,USED,2019,15267,Hatchback,FALSE,Petrol
2.02002E+14,21050,14,White,Toyota,Yaris,USED,2014,8995,Hatchback,FALSE,Petrol Hybrid
2.02002E+14,20,,Black,Mercedes-Benz,GLE Class,NEW,,58110,SUV,FALSE,Diesel
2.02002E+14,154000,9,Grey,Volkswagen,Golf,USED,2009,3550,Hatchback,FALSE,Diesel
2.02002E+14,110314,6,Silver,Volkswagen,Fox,USED,2006,1275,Hatchback,FALSE,Petrol
2.02002E+14,30144,13,White,Fiat,500,USED,2013,4195,Hatchback,FALSE,Petrol
2.02003E+14,61500,64,White,MINI,Hatch,USED,2014,6995,Hatchback,FALSE,Petrol
2.02004E+14,4000,70,Grey,Audi,SQ5,USED,2020,56999,SUV,FALSE,Diesel
2.02005E+14,10,,Grey,Mercedes-Benz,C Class,NEW,,39194,Estate,FALSE,Petrol
2.02005E+14,8919,19,Grey,Mercedes-Benz,E Class,USED,2019,32999,Saloon,FALSE,Diesel
2.02006E+14,103450,,Bronze,BMW,3 Series,USED,2006,6000,Convertible,FALSE,Petrol
2.02006E+14,27658,15,Blue,Audi,A5,USED,2015,16790,Coupe,FALSE,Diesel
2.02006E+14,27369,17,White,Audi,Q7,USED,2017,30990,SUV,FALSE,Diesel
2.02006E+14,6000,66,Grey,Hyundai,i10,USED,2016,7750,Hatchback,FALSE,Petrol
2.02006E+14,14513,69,Grey,Renault,Kadjar,USED,2019,15484,SUV,FALSE,Petrol
2.02006E+14,92000,15,Red,Land Rover,Range Rover Sport,USED,2015,43990,SUV,FALSE,Diesel
2.02006E+14,27500,62,Silver,Vauxhall,Agila,USED,2012,4495,Hatchback,FALSE,Petrol
2.02007E+14,45802,15,Grey,Mercedes-Benz,C Class,USED,2015,15500,Saloon,FALSE,Diesel
2.02007E+14,54000,61,Blue,Vauxhall,Meriva,USED,2011,3500,MPV,FALSE,Petrol
2.02007E+14,9864,19,White,Volkswagen,Sharan,USED,2019,22500,MPV,FALSE,Diesel
2.02007E+14,48380,65,Black,Volvo,V70,USED,2015,11990,Estate,FALSE,Diesel
2.02007E+14,4000,20,Black,Volkswagen,Tiguan,USED,2020,29950,SUV,FALSE,Diesel
2.02007E+14,8723,69,Grey,Vauxhall,Mokka X,USED,2019,14995,SUV,FALSE,Petrol
2.02007E+14,40813,18,Silver,Kia,Sportage,USED,2018,15199,SUV,FALSE,Diesel
2.02007E+14,26571,17,Black,Citroen,Grand C4 Picasso,USED,2017,14933,MPV,FALSE,Diesel
2.02007E+14,5375,69,White,Subaru,XV,USED,2019,21995,SUV,FALSE,Petrol
2.02007E+14,38661,16,Blue,Audi,Q3,USED,2016,15990,SUV,FALSE,Diesel
2.02007E+14,19521,66,Silver,Suzuki,Vitara,USED,2016,9824,SUV,FALSE,Petrol
2.02007E+14,16160,18,Blue,Nissan,Qashqai,USED,2018,15390,SUV,FALSE,Petrol
2.02007E+14,3460,69,Black,Volkswagen,Polo,USED,2020,14255,Hatchback,FALSE,Petrol
2.02007E+14,1693,20,White,Volkswagen,Polo,USED,2020,14498,Hatchback,FALSE,Petrol
2.02007E+14,64000,3,Silver,Bentley,Arnage,USED,2003,26000,Saloon,FALSE,Petrol
2.02008E+14,9373,18,Blue,SEAT,Arona,USED,2018,15000,SUV,FALSE,Diesel
2.02008E+14,24663,17,Black,Lexus,NX 300h,USED,2017,23965,SUV,FALSE,Petrol Hybrid
2.02008E+14,11118,18,Black,Peugeot,208,USED,2018,9491,Hatchback,FALSE,Petrol
2.02008E+14,21849,66,White,Citroen,Grand C4 Picasso,USED,2016,12700,MPV,FALSE,Diesel
2.02008E+14,82454,15,Red,Kia,Picanto,USED,2015,5281,Hatchback,FALSE,Petrol
2.02008E+14,13958,17,Grey,Volkswagen,Golf SV,USED,2017,14690,MPV,FALSE,Petrol
2.02008E+14,18031,17,Blue,Audi,Q3,USED,2017,20995,SUV,FALSE,Petrol
2.02008E+14,25000,17,White,SEAT,Ibiza,USED,2017,8500,Hatchback,FALSE,Petrol
2.02008E+14,91000,59,Grey,Volvo,S40,USED,2009,2995,Saloon,FALSE,Petrol
2.02008E+14,15934,17,Green,MINI,Clubman,USED,2017,16497,Estate,FALSE,Diesel
2.02008E+14,21000,67,Black,Audi,A4 Avant,USED,2017,17000,Estate,FALSE,Petrol
2.02008E+14,14800,66,White,Suzuki,Swift,USED,2016,9340,Hatchback,FALSE,Petrol
2.02008E+14,69974,60,Beige,Renault,Clio,USED,2010,2280,Hatchback,FALSE,Petrol
2.02008E+14,18887,18,Silver,Land Rover,Range Rover,USED,2018,59995,SUV,FALSE,Diesel
2.02008E+14,36484,66,Red,Vauxhall,Corsa,USED,2016,5699,Hatchback,FALSE,Petrol
2.02008E+14,5170,69,Blue,BMW,2 Series,USED,2019,22980,Coupe,FALSE,Diesel
2.02008E+14,57269,15,Blue,Volkswagen,Tiguan,USED,2015,11380,SUV,FALSE,Diesel
2.02008E+14,32000,61,Black,Volvo,S40,USED,2011,6480,Saloon,FALSE,Petrol
2.02008E+14,68829,15,Black,Volkswagen,Golf,USED,2015,14600,Hatchback,FALSE,Petrol
2.02008E+14,63220,10,Silver,Vauxhall,Astra,USED,2010,3250,Hatchback,FALSE,Petrol
2.02008E+14,18624,67,White,Peugeot,108,USED,2017,6795,Hatchback,FALSE,Petrol
2.02008E+14,10939,67,Grey,Peugeot,2008,USED,2017,12200,SUV,FALSE,Petrol
2.02008E+14,20889,67,Black,Citroen,C3 Aircross,USED,2018,11495,SUV,FALSE,Petrol
2.02008E+14,47831,62,White,Suzuki,Swift,USED,2012,5650,Hatchback,FALSE,Petrol
2.02008E+14,4824,19,White,Vauxhall,Astra,USED,2019,13150,Hatchback,FALSE,Petrol
2.02008E+14,5431,69,Black,Audi,A3,USED,2019,17000,Hatchback,FALSE,Petrol
2.02008E+14,1500,20,Grey,Honda,Civic,USED,2020,18995,Hatchback,FALSE,Petrol
2.02008E+14,41196,65,White,Citroen,C1,USED,2016,6500,Hatchback,FALSE,Petrol
2.02008E+14,47967,15,Blue,BMW,3 Series Gran Turismo,USED,2015,14250,Hatchback,FALSE,Petrol
2.02008E+14,32561,16,Purple,DS AUTOMOBILES,DS 3 CABRIO,USED,2016,8495,Convertible,FALSE,Petrol
2.02008E+14,42,16,,Ferrari,California,USED,2016,114900,Convertible,FALSE,Petrol
2.02008E+14,73606,9,Black,Vauxhall,Vectra,USED,2009,2495,Hatchback,FALSE,Petrol
2.02008E+14,58985,65,Grey,Toyota,Auris,USED,2015,7650,Hatchback,FALSE,Diesel
2.02008E+14,20358,18,White,Volkswagen,up!,USED,2018,7000,Hatchback,FALSE,Petrol
2.02008E+14,15907,18,White,SEAT,Leon,USED,2018,10907,Hatchback,FALSE,Petrol
2.02008E+14,52142,16,Grey,Audi,S3,USED,2016,19995,Hatchback,FALSE,Petrol
2.02008E+14,32000,18,Black,Suzuki,Ignis,USED,2018,9290,Hatchback,FALSE,Petrol
2.02008E+14,12206,67,Black,Volkswagen,Golf,USED,2017,19999,Hatchback,FALSE,Petrol Plug-in Hybrid
2.02008E+14,65417,62,Red,Audi,A1,USED,2012,6990,Hatchback,FALSE,Diesel
2.02008E+14,24278,64,Red,Mercedes-Benz,A Class,USED,2015,13737,Hatchback,FALSE,Diesel
2.02009E+14,38329,14,Silver,Mercedes-Benz,E Class,USED,2014,12999,Saloon,FALSE,Diesel
2.02009E+14,37000,13,Red,Fiat,Panda,USED,2013,4495,Hatchback,FALSE,Petrol
2.02009E+14,32900,65,Red,Vauxhall,ADAM,USED,2015,7270,Hatchback,FALSE,Petrol
2.02009E+14,87000,61,Black,Volkswagen,Golf,USED,2011,6995,Hatchback,FALSE,Diesel
2.02009E+14,3000,69,Grey,Peugeot,208,USED,2019,13795,Hatchback,FALSE,Petrol
2.02009E+14,13490,18,Black,MINI,Hatch,USED,2018,11975,Hatchback,FALSE,Petrol
2.02009E+14,30438,68,Silver,Hyundai,Ioniq,USED,2018,12799,Hatchback,FALSE,Petrol Hybrid
2.02009E+14,25189,19,Silver,Hyundai,Tucson,USED,2019,16750,SUV,FALSE,Petrol
2.02009E+14,9000,69,Blue,Volvo,V60,USED,2019,28250,Estate,FALSE,Diesel
2.02009E+14,31700,14,Grey,Toyota,Auris,USED,2014,10290,Hatchback,FALSE,Petrol Hybrid
2.02009E+14,42493,65,Blue,Mercedes-Benz,GLA Class,USED,2015,16750,SUV,FALSE,Diesel
2.02009E+14,21027,66,White,MINI,Hatch,USED,2016,12595,Hatchback,FALSE,Petrol
2.02009E+14,46000,65,Red,Vauxhall,ADAM,USED,2015,6995,Hatchback,FALSE,Petrol
2.02009E+14,4539,19,Black,Suzuki,Ignis,USED,2019,9499,Hatchback,FALSE,Petrol Hybrid
2.02009E+14,0,,Grey,Toyota,C-HR,NEW,,28888,SUV,FALSE,Petrol Hybrid
2.02009E+14,19880,19,Black,DS AUTOMOBILES,DS 7 CROSSBACK,USED,2019,21495,SUV,FALSE,Petrol
2.02009E+14,29490,67,Black,Audi,A6 Avant,USED,2017,19126,Estate,FALSE,Diesel
2.02009E+14,31203,17,Red,Vauxhall,Corsa,USED,2017,6559,Hatchback,FALSE,Petrol
2.02009E+14,40706,66,Black,Mercedes-Benz,S Class,USED,2016,30000,Saloon,FALSE,Diesel
2.02009E+14,43501,17,Grey,Honda,CR-V,USED,2017,13492,SUV,FALSE,Diesel
2.02009E+14,27004,67,Blue,Volkswagen,Scirocco,USED,2017,16784,Coupe,FALSE,Diesel
2.02009E+14,11838,68,Grey,Volvo,XC60,USED,2018,47990,SUV,FALSE,Petrol Plug-in Hybrid
2.02009E+14,3000,70,Grey,Mercedes-Benz,GLC Class,USED,2020,46900,SUV,FALSE,Diesel
2.02009E+14,50902,66,Black,Mercedes-Benz,C Class,USED,2016,13200,Estate,FALSE,Diesel
2.02009E+14,74000,66,Grey,Vauxhall,Insignia,USED,2016,6579,Hatchback,FALSE,Diesel
2.02009E+14,3978,69,Black,Volvo,V60,USED,2020,26000,Estate,FALSE,Diesel
2.02009E+14,43820,68,Black,Audi,A3,USED,2018,14500,Hatchback,FALSE,Petrol
2.02009E+14,60690,12,White,Kia,Rio,USED,2012,3495,Hatchback,FALSE,Petrol
2.02009E+14,28765,16,Black,SEAT,Leon,USED,2016,10995,Hatchback,FALSE,Diesel
2.02009E+14,22634,17,Black,Kia,Optima,USED,2017,16780,Saloon,FALSE,Petrol Plug-in Hybrid
2.02009E+14,25265,68,Black,Mercedes-Benz,CLA Class,USED,2018,31000,Coupe,FALSE,Petrol
2.02009E+14,15998,65,Grey,Vauxhall,Insignia,USED,2015,8495,Hatchback,FALSE,Petrol
2.02009E+14,8193,69,Blue,Honda,CR-V,USED,2019,26999,SUV,FALSE,Petrol
2.02009E+14,24720,67,White,Nissan,Micra,USED,2017,10000,Hatchback,FALSE,Petrol
2.02009E+14,10,70,Grey,Kia,Ceed,USED,2020,19999,Hatchback,FALSE,Petrol
2.02009E+14,28377,18,Red,Toyota,RAV4,USED,2018,20995,SUV,FALSE,Petrol Hybrid
2.02009E+14,3288,69,White,MINI,Clubman,USED,2019,16990,Estate,FALSE,Petrol
2.02009E+14,10,,Black,Hyundai,Tucson,NEW,,22815,SUV,FALSE,Petrol
2.02009E+14,17837,19,White,Jeep,Compass,USED,2019,18895,SUV,FALSE,Petrol
2.02009E+14,31602,67,Grey,MINI,Hatch,USED,2017,11300,Hatchback,FALSE,Petrol
2.02009E+14,141500,59,Black,Land Rover,Freelander 2,USED,2009,4950,SUV,FALSE,Diesel
2.02009E+14,38000,17,Grey,Land Rover,Discovery Sport,USED,2017,18490,SUV,FALSE,Diesel
2.02009E+14,15250,68,Grey,Toyota,Yaris,USED,2018,9490,Hatchback,FALSE,Petrol
2.02009E+14,29646,66,Black,Volkswagen,Polo,USED,2016,9290,Hatchback,FALSE,Petrol
2.02009E+14,68682,13,White,Audi,A5,USED,2013,12480,Coupe,FALSE,Petrol
2.02009E+14,50,70,Black,Volvo,XC90,USED,2020,48750,SUV,FALSE,Petrol Hybrid
2.02009E+14,83270,11,Silver,BMW,3 Series,USED,2011,7795,Estate,FALSE,Diesel
2.02009E+14,21701,18,Blue,Hyundai,i10,USED,2018,7790,Hatchback,FALSE,Petrol
2.02009E+14,92000,13,White,Mercedes-Benz,C Class,USED,2013,10989,Coupe,FALSE,Petrol
2.02009E+14,117000,63,Black,BMW,5 Series,USED,2013,9990,Saloon,FALSE,Diesel
2.02009E+14,47377,66,White,Renault,Captur,USED,2016,7990,SUV,FALSE,Diesel
2.02009E+14,1500,70,Grey,Mercedes-Benz,A Class,USED,2020,26995,Saloon,FALSE,Petrol
2.02009E+14,100000,51,Red,Audi,TT,USED,2001,2850,Coupe,FALSE,Petrol
2.02009E+14,39516,18,Black,Volkswagen,Passat,USED,2018,16950,Saloon,FALSE,Diesel
2.02009E+14,27387,18,Grey,Nissan,Juke,USED,2018,11390,SUV,FALSE,Diesel
2.02009E+14,17879,67,Silver,Toyota,Auris,USED,2017,14498,Hatchback,FALSE,Petrol Hybrid
2.02009E+14,38982,67,Silver,Lexus,CT 200h,USED,2017,16195,Hatchback,FALSE,Petrol Hybrid
2.02009E+14,22547,66,Blue,Mercedes-Benz,A Class,USED,2016,15999,Hatchback,FALSE,Diesel
2.02009E+14,50634,66,White,Hyundai,i10,USED,2016,4826,Hatchback,FALSE,Petrol
2.02009E+14,29750,68,Grey,Audi,A6 Saloon,USED,2018,23990,Saloon,FALSE,Diesel
2.02009E+14,36477,17,Grey,Volkswagen,Golf,USED,2017,13990,Hatchback,FALSE,Diesel
2.02009E+14,8068,67,Red,Alfa Romeo,Giulia,USED,2017,23450,Saloon,FALSE,Petrol
2.02009E+14,35848,17,Silver,Audi,A3,USED,2017,18500,Hatchback,FALSE,Petrol
2.02009E+14,0,,Red,SKODA,Kamiq,NEW,,23795,SUV,FALSE,Petrol
2.02009E+14,2180,20,Silver,MINI,Hatch,USED,2020,18990,Hatchback,FALSE,Petrol
2.02009E+14,47200,64,Black,Vauxhall,Zafira Tourer,USED,2014,7795,MPV,FALSE,Diesel
2.02009E+14,0,70,Grey,Land Rover,Range Rover Velar,USED,2020,52995,SUV,FALSE,Diesel
2.02009E+14,18630,18,Blue,Peugeot,108,USED,2018,7495,Hatchback,FALSE,Petrol
2.02009E+14,82000,15,Black,Nissan,Qashqai,USED,2015,10000,SUV,FALSE,Diesel
